SampleDateTime;DeviceID;BatteryVoltage;ChargingFlag;PLMN;SignalStrength;AttachTries;ConnectTries;AttachFailures;ConnectFailures;GeneralFailures;LastFailureCode;Temperature
2022-12-23 19:32:33.4219390;cg1;3862;0;1;23;5;0;0;0;0;0;-10.44
2022-12-23 19:47:52.7965540;cg1;3862;0;1;22;11;0;0;0;0;0;-10.38
2022-12-23 20:03:10.6131730;cg1;3858;0;1;22;6;0;0;0;0;0;-10.25
2022-12-23 20:18:30.0586170;cg1;3854;0;1;19;11;0;0;0;0;0;-10.12
2022-12-23 20:33:50.1326410;cg1;3864;0;1;20;11;0;0;0;0;0;-9.81
2022-12-23 20:49:09.9137460;cg1;3854;0;1;19;11;0;0;0;0;0;-9.56
2022-12-23 21:04:27.8090690;cg1;3858;0;1;22;7;0;0;0;0;0;-9.44
2022-12-23 21:19:47.8209630;cg1;3860;0;1;19;11;0;0;0;0;0;-9.31
2022-12-23 21:35:07.0914700;cg1;3864;0;1;18;10;0;0;0;0;0;-9.19
2022-12-23 21:50:28.7893210;cg1;3854;0;1;18;13;0;0;0;0;0;-9.12
2022-12-23 22:05:45.8238120;cg1;3856;0;1;22;6;0;0;0;0;0;-9.0
2022-12-23 22:21:03.3503930;cg1;3858;0;1;22;6;0;0;0;0;0;-8.88
2022-12-23 22:36:21.5052240;cg1;3854;0;1;20;8;0;0;0;0;0;-8.69
2022-12-23 22:51:39.1888270;cg1;3854;0;1;24;6;0;0;0;0;0;-8.56
2022-12-23 23:06:55.8954870;cg1;3862;0;1;24;5;0;0;0;0;0;-8.31
2022-12-23 23:22:16.1612790;cg1;3862;0;1;19;11;1;0;0;0;0;-8.31
2022-12-23 23:37:32.1470790;cg1;3856;0;1;24;5;0;0;0;0;0;-8.31
2022-12-23 23:52:49.8252540;cg1;3854;0;1;22;7;0;0;0;0;0;-8.31
2022-12-24 00:08:11.1194390;cg1;3854;0;1;18;12;0;0;0;0;0;-8.19
2022-12-24 00:23:28.2255100;cg1;3854;0;1;22;6;0;0;0;0;0;-8.0
2022-12-24 00:38:47.4298760;cg1;3856;0;1;23;9;0;0;0;0;0;-7.81
